Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
72	13-N-16	42	56	69	0	1	3	0	0	0	0
72	13-O-5	923	637	42	12	33	27	14	13	5	2
72	11-O-10	404	208	6	16	4	0	0	0	0	0

73	13-N-16	42	56	69	0	1	3	0	0	0	0
73	12-O-5	204	156	42	7	8	4	2	1	0	0
73	11-N-9	528	198	13	0	19	0	0	0	0	0

74	13-N-16	42	56	69	0	1	3	0	0	0	0
74	12-O-5	204	156	42	7	8	4	2	1	0	0
74	11-O-10	404	208	6	16	4	0	0	0	0	0

75	13-N-16	42	56	69	0	1	3	0	0	0	0
75	12-O-5	204	156	42	7	8	4	2	1	0	0
75	12-N-3	549	328	77	19	4	0	3	1	2	0

76	13-N-16	42	56	69	0	1	3	0	0	0	0
76	12-O-5	204	156	42	7	8	4	2	1	0	0
76	11-N-1	865	323	59	17	35	0	0	0	4	0

77	13-N-16	42	56	69	0	1	3	0	0	0	0
77	11-N-4	764	470	18	5	9	0	0	0	0	0
77	11-O-10	404	208	6	16	4	0	0	0	0	0

78	13-N-16	42	56	69	0	1	3	0	0	0	0
78	13-N-4	71	67	96	0	3	4	0	0	0	0
78	11-N-9	528	198	13	0	19	0	0	0	0	0

79	13-N-16	42	56	69	0	1	3	0	0	0	0
79	13-N-4	71	67	96	0	3	4	0	0	0	0
79	11-N-1	865	323	59	17	35	0	0	0	4	0

80	13-N-16	42	56	69	0	1	3	0	0	0	0
80	13-N-4	71	67	96	0	3	4	0	0	0	0
80	13-N-5	35	11	33	0	0	0	0	0	0	0

81	13-N-16	42	56	69	0	1	3	0	0	0	0
81	13-O-7	590	498	67	10	21	19	12	8	7	1
81	11-N-9	528	198	13	0	19	0	0	0	0	0

82	13-N-16	42	56	69	0	1	3	0	0	0	0
82	13-O-7	590	498	67	10	21	19	12	8	7	1
82	11-O-10	404	208	6	16	4	0	0	0	0	0

83	13-N-16	42	56	69	0	1	3	0	0	0	0
83	13-O-7	590	498	67	10	21	19	12	8	7	1
83	11-N-1	865	323	59	17	35	0	0	0	4	0

84	13-N-16	42	56	69	0	1	3	0	0	0	0
84	13-O-7	590	498	67	10	21	19	12	8	7	1
84	11-N-4	764	470	18	5	9	0	0	0	0	0

85	13-P-8	83	25	43	0	18	17	0	3	0	3
85	11-N-1	865	323	59	17	35	0	0	0	4	0
85	11-N-9	528	198	13	0	19	0	0	0	0	0

86	13-P-8	83	25	43	0	18	17	0	3	0	3
86	11-N-1	865	323	59	17	35	0	0	0	4	0
86	11-O-10	404	208	6	16	4	0	0	0	0	0

87	13-P-8	83	25	43	0	18	17	0	3	0	3
87	13-O-5	923	637	42	12	33	27	14	13	5	2
87	11-O-10	404	208	6	16	4	0	0	0	0	0

88	13-P-8	83	25	43	0	18	17	0	3	0	3
88	12-O-5	204	156	42	7	8	4	2	1	0	0
88	11-O-10	404	208	6	16	4	0	0	0	0	0

89	13-P-8	83	25	43	0	18	17	0	3	0	3
89	12-O-5	204	156	42	7	8	4	2	1	0	0
89	12-N-3	549	328	77	19	4	0	3	1	2	0

90	13-P-8	83	25	43	0	18	17	0	3	0	3
90	11-N-4	764	470	18	5	9	0	0	0	0	0
90	11-O-10	404	208	6	16	4	0	0	0	0	0

91	13-P-8	83	25	43	0	18	17	0	3	0	3
91	13-O-7	590	498	67	10	21	19	12	8	7	1
91	11-O-10	404	208	6	16	4	0	0	0	0	0

92	13-P-8	83	25	43	0	18	17	0	3	0	3
92	13-O-7	590	498	67	10	21	19	12	8	7	1
92	11-N-4	764	470	18	5	9	0	0	0	0	0

93	13-N-21	426	69	105	4	4	0	1	4	1	0
93	11-N-1	865	323	59	17	35	0	0	0	4	0
93	11-O-10	404	208	6	16	4	0	0	0	0	0

94	13-N-21	426	69	105	4	4	0	1	4	1	0
94	13-N-5	35	11	33	0	0	0	0	0	0	0
94	10-P-1	39	62	46	0	0	0	0	0	0	6

95	13-N-21	426	69	105	4	4	0	1	4	1	0
95	13-N-4	71	67	96	0	3	4	0	0	0	0
